timestamp,test,cross_track error
1744818724.9964395,long,0.0
1744818725.0170753,long,0.0
1744818725.0371652,long,0.0
1744818725.0562441,long,0.0
1744818725.0762875,long,0.0
1744818725.0961602,long,0.0
1744818725.1164422,long,0.0
1744818725.1369314,long,0.0
1744818725.1562986,long,0.0
1744818725.1762853,long,0.0
1744818725.1982827,long,0.0
1744818725.2165575,long,0.0
1744818725.2374935,long,0.0
1744818725.256639,long,0.0
1744818725.2777534,long,0.0
1744818725.2988586,long,0.0
1744818725.3173995,long,0.0
1744818725.336447,long,0.0
1744818725.3564446,long,0.0
1744818725.3764546,long,0.0
1744818725.396257,long,0.0
1744818725.4166036,long,0.0
1744818725.4363558,long,0.0
1744818725.4577203,long,0.0
1744818725.4773552,long,0.0
1744818725.4969673,long,0.0
1744818725.5162628,long,0.0
1744818725.5363932,long,0.0
1744818725.556231,long,0.0
1744818725.5761921,long,0.0
1744818725.5971134,long,0.0
1744818725.6175923,long,0.0
1744818725.6363738,long,0.0
1744818725.6564138,long,0.0
1744818725.6766505,long,0.0
1744818725.696271,long,0.0
1744818725.7164521,long,0.0
1744818725.7364125,long,0.0
1744818725.7562878,long,0.0
1744818725.7774007,long,0.0
1744818725.7956226,long,0.0
1744818725.8163934,long,0.0
1744818725.8371577,long,0.0
1744818725.8563232,long,0.0
1744818725.8763902,long,0.0
1744818725.8969889,long,0.0
1744818725.9171054,long,0.0
1744818725.9491024,long,0.0
1744818725.9583259,long,0.0
1744818725.9771707,long,0.0
1744818726.00206,long,0.0
1744818726.0172772,long,0.0
1744818726.110425,long,0.016908045958549427
1744818726.1220717,long,0.016908045958549427
1744818726.140952,long,0.016908045958549427
1744818726.15893,long,0.055498399802548816
1744818726.1778066,long,0.05276321047699199
1744818726.1985214,long,0.04855740664235863
1744818726.2183814,long,0.04372382962299636
1744818726.2391458,long,0.03832643211394774
1744818726.2600863,long,0.03208285484241399
1744818726.2796447,long,0.02535180266883607
1744818726.2985773,long,0.01912400458830509
1744818726.338934,long,0.012315416128103402
1744818726.351337,long,0.003241578747811458
1744818726.374535,long,-0.001272254228367919
1744818726.4804373,long,-0.009689933502104744
1744818726.499867,long,-0.041277291963739325
1744818726.509535,long,-0.04747086799649711
1744818726.5252993,long,-0.053556771720347056
1744818726.5406032,long,-0.03931519969376176
1744818726.5627377,long,0.016430813348004367
1744818726.579722,long,0.06598454550346508
1744818726.5989156,long,0.08017263290343209
1744818726.627434,long,0.07617786298200828
1744818726.6391327,long,0.07475654092624123
1744818726.6595988,long,0.07258153262450624
1744818726.6821797,long,0.07012709944983998
1744818726.69905,long,0.06769084668455891
1744818726.7185473,long,0.06490419822113305
1744818726.7398465,long,0.06210011946267626
1744818726.7585218,long,0.059460842569144905
1744818726.7812111,long,0.05659068851534527
1744818726.7989085,long,0.054537142505654834
1744818726.8215442,long,0.05218610104064669
1744818726.8393815,long,0.05003866144652865
1744818726.8587515,long,0.0478799714997579
1744818726.881918,long,0.0456583347104288
1744818726.898728,long,0.043743814690214065
1744818726.9199326,long,0.04169519829745835
1744818726.9389515,long,0.03997556326114654
1744818726.9595022,long,0.03821132808484105
1744818726.9779196,long,0.036701970998354996
1744818726.9984705,long,0.03500068565395634
1744818727.0185478,long,0.03308067874418232
1744818727.038648,long,0.03104388875928334
1744818727.0577831,long,0.029166077009847587
1744818727.0783145,long,0.027370894540939578
1744818727.0997255,long,0.025682684011397786
1744818727.1183918,long,0.02432104218974038
1744818727.1392086,long,0.022956631451393483
1744818727.1632118,long,0.021818217887413366
1744818727.1785161,long,0.020744309849260744
1744818727.1981242,long,0.019778381471038258
1744818727.2184653,long,0.018749066813442232
1744818727.2383769,long,0.017747139188334954
1744818727.2596507,long,0.016757272722063402
1744818727.2783492,long,0.015861535781813006
1744818727.2985675,long,0.014968715953601967
1744818727.3247244,long,0.014187095694090497
1744818727.338891,long,0.013492405082901124
1744818727.3585274,long,0.012876953761760816
1744818727.379126,long,0.012369309547568132
1744818727.3987,long,0.01192622614262338
1744818727.4187484,long,0.011542380117894496
